                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5275,                 5.1285,                 3.8287,                0.00044,                0.11653,                0.00033,                0.00015,                 4.0017,                 4.9722,                  4.222,             0.00054969,             0.00054969,             0.00054969
                      2,                 2.4018,                 3.3945,                 2.3632,                0.04095,                0.23719,                0.03343,                0.01154,                  2.522,                 6.6442,                 2.7005,              0.0010944,              0.0010944,              0.0010944
                      3,                 1.6397,                 2.1841,                 1.6285,                0.17072,                0.21358,                0.11051,                 0.0346,                 2.3652,                 3.8805,                 2.4491,              0.0016281,              0.0016281,              0.0016281
                      4,                  1.303,                 1.6242,                 1.3623,                0.15619,                0.14996,                0.09183,                 0.0281,                 2.5623,                 3.4732,                 2.5909,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1024,                 1.2893,                 1.2229,                0.28032,                0.27674,                0.18921,                0.04964,                 2.6645,                 2.6846,                 2.7248,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.0218,                 1.1354,                 1.1706,                 0.3103,                0.16238,                0.11598,                0.03408,                 2.5891,                 3.2726,                 2.6016,               0.001601,               0.001601,               0.001601
                      7,                0.94284,                 1.0127,                 1.1245,                0.27788,                0.18763,                 0.1244,                 0.0292,                  2.893,                  3.063,                 2.8195,              0.0015845,              0.0015845,              0.0015845
                      8,                0.90952,                0.94999,                 1.1074,                0.45249,                0.34342,                0.28952,                0.08855,                 2.4912,                 2.4247,                 2.4387,               0.001568,               0.001568,               0.001568
                      9,                0.86501,                0.87606,                  1.075,                0.26051,                0.17892,                0.11898,                0.02916,                 2.7553,                  3.184,                 2.6761,              0.0015515,              0.0015515,              0.0015515
                     10,                0.82594,                0.82959,                 1.0582,                0.36003,                0.30887,                0.22337,                0.06417,                 2.5878,                 2.5667,                 2.4698,               0.001535,               0.001535,               0.001535
                     11,                 0.8336,                0.81783,                 1.0554,                0.25903,                0.14388,                0.09863,                0.02549,                 2.7625,                 3.5268,                 2.5696,              0.0015185,              0.0015185,              0.0015185
                     12,                0.78723,                0.76598,                 1.0376,                0.46005,                0.39429,                0.35596,                0.10561,                 2.5957,                 2.2096,                 2.5122,               0.001502,               0.001502,               0.001502
                     13,                0.77374,                0.74621,                 1.0288,                0.34989,                0.29802,                0.21505,                0.07198,                 2.4791,                 2.6967,                 2.3957,              0.0014855,              0.0014855,              0.0014855
                     14,                0.77343,                0.73494,                 1.0265,                0.41684,                0.28114,                0.23902,                0.06542,                 2.7278,                  2.623,                 2.6513,               0.001469,               0.001469,               0.001469
                     15,                 0.7355,                0.69567,                 1.0098,                0.39587,                0.27507,                0.21654,                0.05377,                 2.7809,                 2.5906,                 2.6523,              0.0014525,              0.0014525,              0.0014525
                     16,                0.73999,                0.68587,                 1.0068,                0.44395,                0.31541,                0.29111,                0.07918,                 2.6445,                 2.3636,                 2.6193,               0.001436,               0.001436,               0.001436
                     17,                0.72086,                0.68189,                 1.0024,                0.43562,                0.31548,                0.26779,                0.08312,                 2.4729,                 2.5364,                 2.3255,              0.0014195,              0.0014195,              0.0014195
                     18,                0.71626,                0.66689,                0.99392,                0.39794,                0.28409,                 0.2194,                0.06641,                 2.5381,                 2.7131,                  2.439,              0.0014029,              0.0014029,              0.0014029
                     19,                0.70167,                0.65731,                0.98772,                0.33206,                0.28264,                0.23058,                0.07843,                 2.5213,                 2.7087,                 2.3942,              0.0013864,              0.0013864,              0.0013864
                     20,                0.71192,                0.66123,                0.99149,                0.43053,                0.33539,                 0.2916,                0.08542,                 2.5929,                 2.6245,                 2.4943,              0.0013699,              0.0013699,              0.0013699
                     21,                 0.6874,                 0.6283,                0.98271,                0.41772,                0.36254,                0.29665,                0.08342,                 2.6429,                 2.2927,                 2.5161,              0.0013534,              0.0013534,              0.0013534
                     22,                0.67949,                0.61867,                0.97927,                0.39687,                0.25033,                 0.2169,                0.06395,                 2.6508,                 2.9244,                 2.5448,              0.0013369,              0.0013369,              0.0013369
                      1,                 3.5275,                 5.1285,                 3.8287,                0.00046,                0.12032,                0.00035,                0.00016,                 4.0194,                 5.0032,                 4.2364,             0.00054969,             0.00054969,             0.00054969
