                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3808,                 4.8265,                 3.7394,                0.00057,                0.11915,                 0.0004,                0.00015,                 4.1059,                 4.9695,                 4.4284,             0.00054969,             0.00054969,             0.00054969
                      2,                 2.0486,                 2.6611,                 2.2626,                0.24943,                0.07303,                0.04895,                0.01629,                 2.8045,                 4.2473,                 3.1831,              0.0010944,              0.0010944,              0.0010944
                      3,                 1.3932,                  1.574,                 1.6415,                0.39896,                0.27668,                0.23318,                0.07364,                  2.495,                 5.2751,                 3.1469,              0.0016281,              0.0016281,              0.0016281
                      4,                 1.1165,                 1.1681,                 1.3665,                0.39564,                0.32891,                0.26857,                0.09777,                   2.32,                 3.1439,                 2.7307,              0.0016175,              0.0016175,              0.0016175
                      5,                0.96603,                0.96506,                 1.2497,                0.43702,                0.26058,                0.25293,                0.06681,                 2.6655,                 3.1997,                  3.012,              0.0016175,              0.0016175,              0.0016175
                      6,                0.87639,                0.85361,                 1.1778,                0.56647,                0.29651,                0.27823,                 0.0856,                 2.6113,                 2.5882,                   2.87,               0.001601,               0.001601,               0.001601
                      7,                0.80551,                0.78051,                 1.1279,                0.54259,                0.31122,                0.30658,                0.09301,                 2.5982,                 2.4297,                 2.9773,              0.0015845,              0.0015845,              0.0015845
                      8,                0.78333,                0.74572,                 1.1088,                0.42667,                 0.2739,                0.21878,                0.06098,                 2.7022,                 2.8676,                 2.9866,               0.001568,               0.001568,               0.001568
                      9,                0.74202,                0.70196,                 1.0874,                0.41179,                0.25596,                0.21997,                0.07148,                 2.4532,                 3.0155,                  2.819,              0.0015515,              0.0015515,              0.0015515
                     10,                0.71055,                0.67708,                 1.0655,                0.54851,                0.26727,                0.27954,                0.07905,                 2.5072,                 2.5159,                 2.7392,               0.001535,               0.001535,               0.001535
                     11,                0.71281,                0.66322,                 1.0597,                0.40476,                0.26008,                0.18033,                0.06226,                 2.4614,                 3.3269,                 2.8101,              0.0015185,              0.0015185,              0.0015185
                     12,                 0.6737,                0.62737,                 1.0425,                0.57359,                0.42688,                0.45336,                0.15809,                 2.3489,                 2.0653,                 2.7096,               0.001502,               0.001502,               0.001502
                     13,                0.66133,                0.61756,                 1.0341,                0.39188,                0.27302,                0.25219,                 0.0694,                 2.6957,                 2.6242,                 2.9533,              0.0014855,              0.0014855,              0.0014855
                     14,                 0.6502,                0.59757,                 1.0209,                 0.5551,                0.30654,                0.29156,                0.09732,                  2.436,                 2.8503,                 2.8127,               0.001469,               0.001469,               0.001469
                     15,                0.63571,                0.58145,                 1.0126,                0.35891,                0.29295,                0.25319,                0.07277,                 2.7168,                 2.6563,                 2.9036,              0.0014525,              0.0014525,              0.0014525
                     16,                0.62885,                0.56147,                 1.0077,                0.39947,                 0.2383,                0.19641,                0.06067,                 2.4906,                 2.9602,                 2.6896,               0.001436,               0.001436,               0.001436
                     17,                0.61393,                0.55846,                 1.0067,                0.62939,                0.41745,                0.43379,                0.14113,                 2.3617,                 2.1379,                 2.6567,              0.0014195,              0.0014195,              0.0014195
                     18,                 0.6121,                0.55016,                0.99736,                0.47442,                0.28047,                0.27423,                0.08484,                  2.472,                 2.5196,                 2.7573,              0.0014029,              0.0014029,              0.0014029
                     19,                0.59584,                0.53886,                0.98917,                0.50507,                 0.3447,                0.31138,                0.09915,                 2.5461,                 2.4191,                 2.8841,              0.0013864,              0.0013864,              0.0013864
                     20,                0.60642,                0.54434,                0.99254,                0.44443,                0.41197,                0.38183,                0.12864,                 2.3188,                 2.1688,                 2.5862,              0.0013699,              0.0013699,              0.0013699
                     21,                0.58466,                0.50471,                0.98338,                0.51923,                  0.357,                0.35232,                0.10589,                 2.5341,                 2.4492,                  2.691,              0.0013534,              0.0013534,              0.0013534
                     22,                0.57718,                0.50564,                0.97819,                0.40413,                0.28594,                0.25421,                0.07072,                 2.7367,                 2.7743,                 2.9275,              0.0013369,              0.0013369,              0.0013369
                     23,                0.56839,                0.49592,                0.97837,                0.51443,                0.41074,                0.40065,                0.12848,                 2.5282,                 2.2461,                 2.7516,              0.0013204,              0.0013204,              0.0013204
                     24,                0.56238,                0.48736,                0.96738,                0.46275,                0.30292,                0.29435,                0.09943,                 2.4219,                 2.9711,                 2.6986,              0.0013039,              0.0013039,              0.0013039
                     25,                0.55558,                0.49531,                0.96985,                0.51786,                0.30008,                 0.3113,                0.10505,                 2.3983,                 2.3332,                 2.6548,              0.0012874,              0.0012874,              0.0012874
                     26,                0.55305,                0.47799,                0.96416,                0.34867,                0.13848,                0.13329,                0.03792,                 2.8655,                 4.4116,                 2.9742,              0.0012709,              0.0012709,              0.0012709
                     27,                0.55191,                0.48084,                0.95821,                0.63467,                0.45447,                0.47691,                0.17619,                 2.2694,                 1.8478,                 2.7382,              0.0012544,              0.0012544,              0.0012544
                     28,                0.54923,                0.47175,                0.96445,                0.56692,                0.44636,                0.48406,                0.17265,                 2.3521,                 2.1207,                 2.6199,              0.0012379,              0.0012379,              0.0012379
                     29,                0.54118,                0.46099,                0.95849,                0.45296,                0.27162,                0.25982,                0.07508,                 2.5448,                 2.9727,                  2.765,              0.0012214,              0.0012214,              0.0012214
                     30,                0.53367,                0.45749,                0.95751,                0.51377,                0.32359,                0.35348,                0.12492,                 2.2913,                 2.7833,                 2.5318,              0.0012049,              0.0012049,              0.0012049
                     31,                0.52751,                0.45111,                0.94721,                0.40808,                0.23645,                0.24781,                0.09608,                 2.3773,                 3.2569,                 2.5987,              0.0011884,              0.0011884,              0.0011884
                     32,                0.52617,                 0.4534,                0.95043,                0.48533,                0.26186,                0.26589,                0.08182,                 2.6012,                 2.9381,                 2.8373,              0.0011719,              0.0011719,              0.0011719
                     33,                0.52562,                0.44729,                0.95025,                0.58717,                0.37744,                0.40298,                0.14176,                 2.4492,                 2.5289,                 2.7548,              0.0011554,              0.0011554,              0.0011554
                     34,                 0.5192,                0.43904,                0.94311,                0.55167,                 0.3582,                0.38188,                0.14056,                 2.3245,                 2.6386,                  2.512,              0.0011389,              0.0011389,              0.0011389
                     35,                0.51076,                 0.4341,                0.94346,                0.56728,                0.33916,                0.34098,                0.11532,                 2.3692,                 2.5212,                 2.6798,              0.0011224,              0.0011224,              0.0011224
                     36,                0.50417,                0.42104,                0.93794,                0.59041,                0.37067,                0.42393,                0.14603,                 2.3477,                  2.517,                 2.6547,              0.0011059,              0.0011059,              0.0011059
